1,2,3,4,5,6,7
21.58,23.16,23.8,37.77,19.32,10.53,9.75
24.07,25.08,26.7,38.64,21.26,12.9,12.2
28.74,30.19,31.77,39.27,25.47,16.88,16.61
29.11,30.32,32.16,39.33,25.57,17.3,17.06
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
34.75,37.48,38.33,39.74,26.97,19.16,19.21
