Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
518,49,88490.8,7.5326636,33.43,34.51,38.63,38.45,30.56,20.39,20.09
519,49,88490.8,7.4218659,33.71,34.76,39.07,38.34,30.54,20.37,20.07
520,49,88490.79999999999,7.2752326,33.73,35.0,39.0,38.43,30.59,20.38,20.06
521,49,88490.8,7.4944333,33.57,34.74,39.46,38.39,30.61,20.39,20.09
522,49,88490.80000000002,6.9672581,33.43,34.51,38.62,38.44,30.62,20.4,20.1
523,49,88490.79999999999,6.9334953,33.71,34.75,39.07,38.41,30.5,20.36,20.06
524,49,88490.8,6.9427999,33.72,35.0,39.0,38.43,30.6,20.38,20.07
525,49,88490.8,6.7833416,33.63,34.78,38.43,38.41,30.51,20.37,20.08
526,49,88490.80000000002,7.2981104,33.48,34.55,37.76,38.51,30.53,20.38,20.07
527,49,88490.8,7.1377666,33.6,34.77,38.32,38.58,30.55,20.38,20.08
528,49,88490.80000000002,6.8111366,33.63,34.85,38.36,38.7,30.59,20.38,20.07
529,49,88490.8,6.7576308,33.74,35.17,39.08,38.47,30.54,20.37,20.06
530,49,88490.79999999999,6.8370628,33.55,34.89,39.39,38.41,30.62,20.4,20.1
531,49,88490.8,7.15559,33.46,34.65,38.66,38.38,30.54,20.39,20.09
532,49,88490.79999999999,6.9905962,33.68,34.9,38.98,38.31,30.56,20.37,20.06
533,49,88490.8,6.7723185,33.72,35.18,39.0,38.43,30.53,20.36,20.06
534,49,88490.8,7.1686752,33.74,34.92,39.09,38.47,30.54,20.38,20.07
535,49,88490.8,7.3991018,33.76,35.16,39.1,38.45,30.61,20.39,20.08
536,49,88490.8,7.259912,33.57,34.89,39.46,38.4,30.55,20.38,20.08
537,49,88490.79999999999,8.1506008,33.46,34.65,38.72,38.44,30.54,20.39,20.09
