Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
1,50,86981.0,0.0539158,32.83,39.31,35.46,39.96,29.66,19.76,19.47
2,40,70011.99999999999,7.5853643,32.1,38.76,34.45,39.57,27.96,18.77,18.46
3,40,70012.0,5.6329749,32.29,39.33,34.62,38.96,28.17,18.82,18.53
4,40,70454.5,4.6274415,32.11,39.42,34.44,38.58,28.43,18.9,18.57
5,40,70454.5,4.6677298,31.97,39.77,34.3,38.26,28.44,18.93,18.59
6,40,70454.5,4.5741731,31.84,38.87,34.3,38.08,28.46,18.94,18.61
7,40,70454.5,4.8379357,32.04,39.53,34.49,38.17,28.5,18.97,18.67
8,40,70454.5,4.6115441,31.8,38.86,34.24,37.93,28.57,19.01,18.69
9,40,70454.5,4.5584066,32.01,39.52,34.44,37.47,28.48,19.0,18.71
10,40,70454.5,4.5031319,31.77,38.85,34.22,37.31,28.66,19.06,18.74
11,40,70897.0,4.5165135,31.97,39.52,34.39,37.05,28.66,19.07,18.75
12,40,70897.0,4.832208,31.74,38.84,34.17,36.99,28.74,19.11,18.77
13,40,70897.0,4.4798591,31.95,39.51,34.36,36.99,28.77,19.1,18.78
14,40,70896.99999999999,4.4267704,31.72,38.84,34.14,36.96,28.83,19.15,18.8
15,40,70897.0,4.498011,31.94,39.51,34.35,36.97,28.72,19.13,18.79
16,40,70897.0,4.4349424,31.93,39.25,34.24,36.86,28.91,19.18,18.81
17,40,70897.0,4.4747073,31.69,38.4,34.03,36.79,29.01,19.23,18.86
18,40,71339.49999999999,4.5019287,31.49,37.92,33.85,36.85,29.04,19.24,18.87
19,40,71782.0,4.5566736,31.68,38.39,34.02,36.5,28.92,19.22,18.88
20,40,71782.00000000001,4.4688627,31.84,38.7,34.15,36.45,28.95,19.25,18.91
21,40,71781.99999999999,4.5055469,32.12,39.38,34.42,36.4,29.05,19.26,18.92
22,40,71782.0,4.4579029,32.28,39.77,34.73,36.47,28.97,19.25,18.93
23,40,71782.0,4.5493467,32.02,38.85,34.51,36.59,29.12,19.31,18.96
24,40,71782.00000000001,4.4920327,31.83,39.36,34.3,36.65,29.26,19.35,18.97
25,40,71781.99999999999,4.4913023,31.57,38.44,34.07,36.85,29.26,19.34,18.94
26,40,71782.0,4.4371553,31.75,39.08,34.19,36.72,29.29,19.37,18.99
27,40,71782.0,4.4475169,31.7,38.65,34.06,36.82,29.38,19.41,19.04
28,40,71782.0,4.5168622,31.9,39.3,34.18,36.5,29.41,19.43,19.04
29,40,71782.0,4.4487426,31.66,38.65,33.99,36.78,29.26,19.39,19.01
30,40,71782.0,4.4974774,31.8,38.05,34.2,36.85,29.28,19.42,19.06
31,40,71782.0,4.5488593,31.98,38.29,34.29,36.9,29.29,19.42,19.07
32,40,71781.99999999999,4.5031837,31.78,38.65,34.11,37.13,29.42,19.45,19.07
33,40,71782.0,4.485815,31.9,38.08,34.2,37.26,29.31,19.42,19.05
34,40,71782.0,4.4983302,31.69,37.65,34.06,37.53,29.47,19.46,19.08
35,40,71782.0,4.5811317,31.89,38.08,34.16,37.72,29.61,19.51,19.13
36,40,71782.0,4.4987755,32.07,38.33,34.21,37.96,29.69,19.52,19.14
37,40,71782.0,4.5062433,32.29,38.62,34.29,37.54,29.68,19.53,19.16
38,40,71782.0,4.471309,32.5,38.78,34.46,37.83,29.64,19.52,19.15
39,40,71782.0,4.5486827,32.72,38.79,34.66,37.5,29.76,19.54,19.17
40,40,71782.0,4.6081603,32.95,38.95,34.84,37.75,29.8,19.57,19.21
41,40,71782.0,4.582661,33.2,39.12,35.05,37.42,29.83,19.59,19.22
42,40,71782.00000000001,4.4964725,33.16,38.57,35.34,37.69,29.79,19.57,19.2
43,40,71782.0,4.4869734,33.43,39.11,35.32,38.04,29.82,19.57,19.19
44,40,71782.0,4.4715948,33.71,39.29,35.55,37.6,29.71,19.53,19.15
45,40,71782.0,4.4498142,33.92,38.72,36.02,37.88,29.92,19.59,19.18
46,40,71781.99999999999,4.7295888,34.24,39.28,35.96,38.31,29.98,19.61,19.2
47,40,71782.0,4.5344595,34.29,39.47,36.02,37.74,30.1,19.64,19.25
48,40,71782.0,4.728387,34.22,38.87,36.27,37.96,30.22,19.69,19.26
49,40,71782.0,4.513592,34.27,39.45,36.79,37.61,30.16,19.69,19.3
50,40,71782.0,4.4732127,34.39,39.64,37.5,38.11,30.16,19.68,19.28
51,40,71782.0,4.4780946,34.44,39.93,38.32,37.58,30.07,19.67,19.28
52,40,71782.0,4.7992659,34.42,39.05,38.79,37.91,30.15,19.69,19.31
53,40,71782.0,4.5523438,34.64,39.86,39.82,37.56,30.1,19.68,19.32
54,40,71782.0,4.5034231,34.38,38.97,39.75,38.16,30.07,19.66,19.3
55,40,71782.0,4.5832361,34.15,39.09,38.73,38.31,30.24,19.72,19.35
56,40,71782.0,4.4779454,34.44,39.54,38.8,37.92,30.22,19.72,19.33
57,40,71782.0,4.4494133,34.58,38.68,39.8,38.33,30.28,19.73,19.31
58,40,71782.0,4.6071428,34.33,38.78,38.73,38.33,30.2,19.71,19.32
59,40,71782.0,4.6561048,34.53,39.09,39.77,37.93,30.13,19.69,19.31
60,40,71782.0,4.4715756,34.3,39.18,38.72,38.31,30.18,19.72,19.34
61,40,71782.0,4.5389315,34.53,39.33,39.77,37.92,30.15,19.68,19.3
62,40,71782.0,4.5507047,34.3,38.73,39.72,38.32,30.29,19.73,19.32
63,40,71782.0,4.5013079,34.04,38.42,38.69,38.78,30.19,19.72,19.33
64,40,71781.99999999999,4.5862953,34.3,38.82,38.71,39.55,30.22,19.72,19.34
65,40,71782.0,4.9051116,34.51,39.34,39.76,38.71,30.24,19.72,19.35
66,40,71782.0,4.5900011,34.55,39.54,39.77,38.29,30.14,19.69,19.31
67,40,71782.0,4.593785,34.31,38.91,39.72,39.0,30.22,19.72,19.32
68,40,71782.0,4.4840976,34.75,39.48,39.84,39.81,30.21,19.72,19.33
69,40,71782.0,4.4370138,34.52,38.86,39.8,39.42,30.3,19.74,19.32
70,40,71782.0,4.5183269,34.75,39.49,39.84,38.66,30.21,19.71,19.33
71,40,71782.0,4.4267909,34.53,39.32,38.82,38.98,30.2,19.71,19.34
72,40,71781.99999999999,4.5259051,34.78,39.49,39.88,39.8,30.24,19.72,19.35
73,40,71782.0,4.4142589,34.81,39.66,39.92,38.96,30.24,19.72,19.35
74,40,71782.0,4.4114338,34.8,39.68,39.87,38.22,30.23,19.72,19.35
75,40,71782.0,4.5278786,34.59,39.52,38.86,38.71,30.1,19.69,19.33
76,40,71782.0,4.4413559,34.76,38.89,39.87,39.22,30.21,19.72,19.32
77,40,71781.99999999999,4.5856131,34.78,39.49,39.87,38.68,30.21,19.72,19.35
78,40,71782.0,4.5447273,34.79,39.68,39.86,38.21,30.22,19.71,19.34
79,40,71782.0,4.4771535,34.57,39.03,39.84,38.97,30.19,19.7,19.3
80,40,71782.0,4.5016366,34.8,39.68,39.86,39.78,30.23,19.72,19.35
81,40,71781.99999999999,4.4273223,34.83,39.85,39.87,38.92,30.21,19.71,19.33
82,40,71775.69999999998,4.4677862,34.83,39.27,39.87,39.76,30.23,19.72,19.35
83,40,71781.99999999999,4.4589905,34.88,39.52,39.9,38.9,30.23,19.72,19.35
84,40,71781.99999999999,4.3999346,34.63,38.92,39.84,39.16,30.24,19.72,19.32
85,40,71782.0,4.3770263,34.87,39.52,39.88,38.63,30.23,19.72,19.34
86,40,71782.0,4.4832019,34.76,39.51,39.42,39.47,30.23,19.72,19.34
87,40,71782.0,4.7159016,34.89,39.88,39.91,38.61,30.22,19.71,19.34
88,40,71782.0,4.8849728,34.86,39.72,39.9,39.46,30.22,19.71,19.34
