Iteración,Turbinas agregadas,Energia producida [MW],Tiempo de cálculo [s],Ruido receptor 1 [dB],Ruido receptor 2 [dB],Ruido receptor 3 [dB],Ruido receptor 4 [dB],Ruido receptor 5 [dB],Ruido receptor 6 [dB],Ruido receptor 7 [dB]
448,39,72801.0,6.7775736,31.7,33.25,34.46,35.63,36.87,30.78,36.34
449,39,72801.0,6.8711027,31.7,33.3,34.46,35.71,36.91,30.91,36.14
450,39,72801.0,6.776634,31.67,33.3,34.4,35.74,37.19,30.9,36.33
451,39,72801.0,6.7287012,31.7,33.29,34.44,35.6,37.53,30.84,36.36
452,39,72801.0,6.7047701,31.66,33.31,34.42,35.64,37.15,30.81,36.36
453,39,72801.0,6.7828057,31.7,33.34,34.45,35.53,37.28,30.91,36.12
454,39,72801.0,6.7118416,31.69,33.35,34.41,35.63,37.07,31.08,36.13
455,39,72801.0,6.6511724,31.68,33.27,34.41,35.64,37.36,30.95,36.16
456,39,72801.0,6.8035356,31.7,33.34,34.45,35.73,37.79,30.98,36.17
457,39,72801.0,6.8822277,31.72,33.38,34.46,35.66,37.31,30.92,36.15
458,39,72801.0,6.7664358,31.72,33.38,34.45,35.73,36.99,30.79,36.34
459,39,72801.0,6.9706684,31.68,33.36,34.4,35.59,37.37,30.82,36.35
460,39,72801.0,6.7668611,31.69,33.37,34.42,35.6,37.09,30.85,35.8
461,39,72801.0,6.9411387,31.7,33.32,34.47,35.74,36.72,30.79,36.35
462,39,72801.0,6.8444053,31.72,33.37,34.45,35.79,37.08,30.66,36.05
463,39,72801.0,6.8156947,31.71,33.36,34.44,35.87,37.43,30.93,35.74
464,39,72801.0,6.9349902,31.7,33.35,34.43,35.76,37.83,30.93,35.84
465,39,72801.0,6.82909,31.74,33.41,34.48,35.67,37.34,30.9,36.25
466,39,72801.0,6.7920071,31.74,33.37,34.51,35.61,37.64,31.0,35.83
467,39,72801.0,6.7148066,31.73,33.36,34.51,35.59,37.19,30.87,36.31
468,39,72801.0,6.7156882,31.73,33.38,34.47,35.58,37.08,30.79,36.33
469,39,72801.0,6.7213285,31.73,33.41,34.47,35.67,37.09,30.79,36.33
470,39,72801.0,6.8021423,31.69,33.32,34.46,35.6,36.77,30.76,36.32
471,39,72801.0,6.6780634,31.69,33.36,34.39,35.61,37.13,30.86,36.3
472,39,72801.0,6.6758094,31.66,33.3,34.38,35.69,37.5,30.93,36.09
473,39,72801.0,6.673842,31.69,33.32,34.4,35.65,37.39,31.08,36.07
474,39,72801.0,6.9642214,31.68,33.35,34.39,35.75,37.68,30.94,36.1
475,39,72801.0,6.6737956,31.71,33.3,34.49,35.79,37.66,30.87,35.96
476,39,72801.0,6.8525642,31.72,33.35,34.5,35.75,37.2,30.79,36.33
477,39,72801.0,6.7004007,31.74,33.36,34.48,35.62,37.56,30.92,36.13
478,39,72801.0,6.6800143,31.75,33.41,34.48,35.7,37.22,31.05,36.1
479,39,72801.0,6.6642513,31.73,33.43,34.46,35.7,37.47,31.04,35.85
480,39,72801.0,6.6889896,31.77,33.39,34.57,35.7,37.22,30.91,36.08
481,39,72801.0,6.68966,31.73,33.3,34.53,35.62,37.2,30.95,36.27
482,39,72801.0,6.7620003,31.72,33.28,34.57,35.74,37.0,30.87,36.29
483,39,72801.0,6.8336419,31.72,33.36,34.5,35.79,37.34,30.81,35.82
484,39,72801.0,6.7892931,31.75,33.37,34.53,35.75,36.9,30.78,36.32
485,39,72801.0,6.8187282,31.69,33.37,34.46,35.81,37.28,30.91,36.05
486,39,72801.0,6.8002173,31.76,33.39,34.54,35.8,37.06,30.86,36.3
487,39,72801.0,6.7537355,31.71,33.39,34.43,35.67,37.39,30.82,36.33
488,39,72801.0,6.7778869,31.73,33.4,34.49,35.75,37.01,30.79,36.33
489,39,72801.0,6.7168851,31.68,33.38,34.39,35.83,37.38,30.82,36.33
490,39,72801.0,6.7841854,31.72,33.43,34.43,35.74,37.04,30.81,36.33
491,39,72801.0,6.7002902,31.7,33.4,34.48,35.86,37.37,30.82,36.34
492,39,72801.0,6.630458,31.73,33.39,34.5,35.81,37.01,30.8,36.33
493,39,72801.0,6.6740299,31.73,33.39,34.49,35.88,37.36,30.89,36.31
494,39,72801.0,6.9234015,31.76,33.42,34.49,35.97,37.22,30.81,36.33
495,39,72801.0,6.7300739,31.71,33.28,34.5,35.9,37.39,30.82,36.33
496,39,72801.0,6.7572197,31.76,33.33,34.55,35.82,37.06,30.81,36.33
497,39,72801.0,6.7515929,31.75,33.39,34.49,35.93,37.38,30.87,36.27
498,39,72801.0,6.6243702,31.77,33.34,34.56,35.86,37.06,30.82,36.34
499,39,72801.0,6.773192,31.78,33.42,34.53,35.94,37.4,30.82,36.31
500,39,72801.0,6.8019267,31.77,33.39,34.52,35.85,37.04,30.82,36.35
501,39,72801.0,6.666188,31.73,33.34,34.47,35.95,37.36,30.76,36.24
502,39,72801.0,6.7361958,31.63,33.36,34.32,35.92,37.03,30.82,36.34
503,39,72801.0,6.6688722,31.75,33.37,34.48,35.7,37.38,30.82,36.11
504,39,72801.0,6.76253,31.72,33.3,34.45,35.68,37.28,30.8,36.3
505,39,72801.0,6.7163717,31.72,33.34,34.45,35.7,37.1,30.87,36.05
506,39,72801.0,6.6611528,31.72,33.34,34.44,35.54,37.29,30.79,36.32
507,39,72801.0,6.7450865,31.72,33.38,34.43,35.57,36.96,30.77,36.32
508,39,72801.0,6.7134266,31.67,33.31,34.43,35.65,36.92,30.76,36.31
509,39,72801.0,6.6855531,31.69,33.31,34.41,35.74,36.7,30.75,36.31
510,39,72801.0,6.7925591,31.69,33.32,34.41,35.56,37.11,30.76,36.05
511,39,72801.0,6.8145185,31.68,33.32,34.4,35.62,37.5,30.81,36.32
512,39,72801.0,6.7571624,31.71,33.31,34.48,35.73,37.77,30.8,36.32
513,39,72801.0,6.6753161,31.71,33.3,34.48,35.72,37.37,30.78,36.31
514,39,72801.0,6.9219237,31.69,33.33,34.41,35.75,37.84,30.93,36.12
