X [m],Y [m],NUM,MODO,Index_x,Index_y
9706.424581005587,11517.559322033898,1,0,243,286
9586.59217877095,12806.237288135593,2,0,240,318
10025.977653631286,14336.542372881357,3,0,251,356
10625.13966480447,9987.254237288136,4,0,266,248
10625.13966480447,13853.28813559322,5,0,266,344
10665.083798882682,15101.694915254237,6,0,267,375
11424.022346368714,9946.983050847457,7,0,286,247
11224.301675977653,13893.559322033898,8,0,281,345
11224.301675977653,15182.237288135593,9,0,281,377
12023.184357541899,9745.627118644068,10,0,301,242
10265.64245810056,11356.474576271186,11,0,257,282
11783.519553072625,14094.915254237289,12,0,295,350
11783.519553072625,15343.322033898305,13,0,295,381
13461.173184357542,9423.457627118643,14,0,337,234
12782.122905027933,12604.881355932202,15,0,320,313
14020.391061452514,10188.610169491525,16,0,351,253
13341.340782122905,13450.57627118644,17,0,334,334
13980.446927374302,11880.0,18,0,350,295
13980.446927374302,13531.118644067798,19,0,350,336
14100.279329608938,8819.389830508475,20,0,353,219
14579.608938547486,10228.881355932202,21,0,365,254
14539.664804469274,13531.118644067798,22,0,364,336
14659.49720670391,8980.474576271186,23,0,367,223
15138.826815642458,10712.135593220339,24,0,379,266
15098.882681564246,13088.135593220339,25,0,378,325
15218.715083798883,9383.186440677966,26,0,381,233
15698.04469273743,10832.949152542373,27,0,393,269
15777.932960893855,9141.559322033898,28,0,395,227
16456.983240223464,10269.152542372882,29,0,412,255
16377.09497206704,8899.93220338983,30,0,410,221
17016.201117318436,9745.627118644068,31,0,426,242
16936.312849162012,8497.22033898305,32,0,424,211
17575.41899441341,9665.084745762711,33,0,440,240
17495.530726256984,8416.677966101695,34,0,438,209
18134.63687150838,9785.898305084746,35,0,454,243
18054.748603351956,8376.406779661016,36,0,452,208
18693.854748603353,10430.237288135593,37,0,468,259
18613.96648044693,8456.949152542373,38,0,466,210
19253.072625698325,10309.42372881356,39,0,482,256
19173.1843575419,8859.661016949152,40,0,480,220
