X [m],Y [m],NUM,MODO,Index_x,Index_y
9786.312849162012,12806.237288135593,1,6,245,318
9906.145251396649,14135.186440677966,2,6,248,351
10625.13966480447,10228.881355932202,3,6,266,254
9826.256983240224,11477.28813559322,4,6,246,285
10465.363128491621,13893.559322033898,5,6,262,345
10505.307262569833,15141.966101694916,6,6,263,376
11264.245810055865,10108.06779661017,7,6,282,251
10625.13966480447,11839.728813559323,8,6,266,294
11064.525139664804,14054.64406779661,9,6,277,349
11064.525139664804,15303.050847457627,10,6,277,380
11823.463687150837,10067.796610169491,11,6,296,250
11224.301675977653,11477.28813559322,12,6,281,285
11623.743016759776,14256.0,13,6,291,354
11623.743016759776,15504.406779661016,14,6,291,385
12382.68156424581,9745.627118644068,15,6,310,242
11863.40782122905,11880.0,16,6,297,295
13061.731843575419,10309.42372881356,17,6,327,256
12502.513966480446,10994.033898305084,18,6,313,273
13181.564245810056,11678.64406779661,19,6,330,290
12262.849162011173,13531.118644067798,20,2,307,336
13860.614525139665,9222.101694915254,21,6,347,229
13860.614525139665,11880.0,22,5,347,295
12822.067039106145,13531.118644067798,23,5,321,336
14419.832402234637,8819.389830508475,24,6,361,219
14419.832402234637,12202.169491525423,25,6,361,303
14659.49720670391,13531.118644067798,26,6,367,336
15737.988826815643,9222.101694915254,27,6,394,229
16297.206703910615,10309.42372881356,28,6,408,256
16297.206703910615,9061.016949152543,29,6,408,225
16856.424581005587,9946.983050847457,30,6,422,247
16856.424581005587,8698.57627118644,31,6,422,216
17415.64245810056,10027.525423728814,32,6,436,249
17455.58659217877,8698.57627118644,33,6,437,216
17974.86033519553,10309.42372881356,34,6,450,256
18014.804469273742,8618.033898305084,35,6,451,214
18574.022346368714,10389.966101694916,36,6,465,258
18574.022346368714,8940.203389830509,37,6,465,222
19213.12849162011,10269.152542372882,38,6,481,255
19133.240223463687,8980.474576271186,39,6,479,223
