Air Density [kg/m3]	1.225
3	92
3.5	201
4	339
4.5	497
5	734
5.5	1023
6	1351
6.5	1717
7	2089
7.5	2444
8	2782
8.5	3112
9	3437
9.5	3757
10	4063
10.5	4336
11	4541
11.5	4659
12	4718
12.5	4745
13	4745
13.5	4745
14	4745
14.5	4745
15	4745
15.5	4745
16	4745
16.5	4745
17	4745
17.5	4745
18	4745
18.5	4739
19	4690
19.5	4599
20	4435
20.5	4188
21	3899
21.5	3604
22	3306
22.5	2996
23	2739
23.5	2560
24	2402
