V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
4	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
5	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
6	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
7	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
8	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
9	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
10	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
11	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
12	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
13	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
14	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
15	63.5	75	83.9	93	94.7	92.4	87.3	76.5	50	50	103.5
