V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
4	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
5	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
6	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
7	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
8	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
9	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
10	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
11	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
12	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
13	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
14	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
15	59.2	70.7	80	88.6	89.3	87.4	82.4	71.2	44	44	98.5
