X [m],Y [m],NUM,MODO,Index_x,Index_y
10505.307262569833,10510.77966101695,1,9,263,261
10065.921787709498,13007.593220338984,2,9,252,323
10505.307262569833,12363.254237288136,3,9,263,307
10425.418994413409,14135.186440677966,4,9,261,351
10904.748603351954,10349.694915254237,5,9,273,257
10904.748603351954,12121.627118644068,6,9,273,301
10904.748603351954,12886.77966101695,7,9,273,320
10824.86033519553,14135.186440677966,8,9,271,351
11304.189944134077,10470.50847457627,9,9,283,260
11344.13407821229,12081.35593220339,10,9,284,300
11344.13407821229,12886.77966101695,11,9,284,320
11663.687150837988,13732.474576271186,12,9,292,341
11304.189944134077,13772.745762711864,13,9,283,342
11743.575418994413,10349.694915254237,14,9,294,257
11743.575418994413,11557.830508474577,15,9,294,287
11863.40782122905,12685.42372881356,16,9,297,315
12023.184357541899,13490.847457627118,17,9,301,335
11583.798882681564,14779.525423728814,18,9,290,367
12582.402234636871,10631.593220338984,19,9,315,264
12422.625698324022,11880.0,20,9,311,295
12382.68156424581,13531.118644067798,21,9,310,336
12941.899441340782,10712.135593220339,22,9,324,266
13181.564245810056,11517.559322033898,23,9,330,286
12742.17877094972,13531.118644067798,24,9,319,336
13341.340782122905,10752.406779661016,25,9,334,267
13581.005586592179,11759.186440677966,26,9,340,292
13740.782122905028,12886.77966101695,27,9,344,320
14659.49720670391,9624.813559322034,28,9,367,239
14539.664804469274,10792.677966101695,29,9,364,268
13940.50279329609,11880.0,30,9,349,295
14220.111731843575,13249.22033898305,31,9,356,329
15058.938547486034,9826.169491525423,32,9,377,244
14939.106145251397,10752.406779661016,33,9,374,267
14300.0,11920.271186440677,34,9,358,296
14659.49720670391,12725.694915254237,35,9,367,316
15498.324022346369,9705.35593220339,36,9,388,241
15298.603351955308,10712.135593220339,37,9,383,266
16337.150837988827,9705.35593220339,38,9,409,241
15698.04469273743,10832.949152542373,39,9,393,269
17375.698324022345,9665.084745762711,40,9,435,240
16576.8156424581,10591.322033898305,41,9,415,263
17894.972067039107,9785.898305084746,42,9,448,243
17016.201117318436,11034.305084745763,43,9,426,274
17815.083798882682,8859.661016949152,44,9,446,220
17415.64245810056,10591.322033898305,45,9,436,263
18294.41340782123,8940.203389830509,46,9,458,222
18494.13407821229,9987.254237288136,47,9,463,248
18733.798882681564,9141.559322033898,48,9,469,227
18893.575418994413,10269.152542372882,49,9,473,255
19173.1843575419,9262.372881355932,50,9,480,230
