X [m],Y [m]
11424.022,15383.593
11463.966,15383.593
11503.911,15383.593
11543.855,15383.593
11583.799,15383.593
11623.743,15383.593
11663.687,15383.593
11703.631,15383.593
11743.575,15383.593
11304.19,15343.322
11344.134,15343.322
11384.078,15343.322
11424.022,15343.322
11463.966,15343.322
11503.911,15343.322
11543.855,15343.322
11583.799,15343.322
11623.743,15343.322
11663.687,15343.322
11703.631,15343.322
11743.575,15343.322
11264.246,15303.051
11304.19,15303.051
11344.134,15303.051
11384.078,15303.051
11424.022,15303.051
11463.966,15303.051
11503.911,15303.051
11543.855,15303.051
11583.799,15303.051
11623.743,15303.051
11663.687,15303.051
11703.631,15303.051
11743.575,15303.051
11783.52,15303.051
11184.358,15262.78
11224.302,15262.78
11264.246,15262.78
11304.19,15262.78
11344.134,15262.78
11384.078,15262.78
11424.022,15262.78
11463.966,15262.78
11503.911,15262.78
11543.855,15262.78
11583.799,15262.78
11623.743,15262.78
11663.687,15262.78
11703.631,15262.78
11743.575,15262.78
11783.52,15262.78
11104.469,15222.508
11144.413,15222.508
11184.358,15222.508
11224.302,15222.508
11264.246,15222.508
11304.19,15222.508
11344.134,15222.508
11384.078,15222.508
11424.022,15222.508
11463.966,15222.508
11503.911,15222.508
11543.855,15222.508
11583.799,15222.508
11623.743,15222.508
11663.687,15222.508
11703.631,15222.508
11743.575,15222.508
11783.52,15222.508
10984.637,15182.237
11024.581,15182.237
11064.525,15182.237
11104.469,15182.237
11144.413,15182.237
11184.358,15182.237
11224.302,15182.237
11264.246,15182.237
11304.19,15182.237
11344.134,15182.237
11384.078,15182.237
11424.022,15182.237
11463.966,15182.237
11503.911,15182.237
11543.855,15182.237
11583.799,15182.237
11623.743,15182.237
11663.687,15182.237
11703.631,15182.237
11743.575,15182.237
11783.52,15182.237
10265.642,15141.966
10305.587,15141.966
10345.531,15141.966
10385.475,15141.966
10425.419,15141.966
10465.363,15141.966
10505.307,15141.966
10625.14,15141.966
10904.749,15141.966
10944.693,15141.966
10984.637,15141.966
11024.581,15141.966
11064.525,15141.966
11104.469,15141.966
11144.413,15141.966
11184.358,15141.966
11224.302,15141.966
11264.246,15141.966
11304.19,15141.966
11344.134,15141.966
11384.078,15141.966
11424.022,15141.966
11463.966,15141.966
11503.911,15141.966
11543.855,15141.966
11583.799,15141.966
11623.743,15141.966
11663.687,15141.966
11703.631,15141.966
11743.575,15141.966
11783.52,15141.966
11823.464,15141.966
10265.642,15101.695
10305.587,15101.695
10345.531,15101.695
10385.475,15101.695
10425.419,15101.695
10465.363,15101.695
10505.307,15101.695
10545.251,15101.695
10585.196,15101.695
10625.14,15101.695
10665.084,15101.695
10705.028,15101.695
10744.972,15101.695
10824.86,15101.695
10864.804,15101.695
10904.749,15101.695
10944.693,15101.695
10984.637,15101.695
11024.581,15101.695
11064.525,15101.695
11104.469,15101.695
11144.413,15101.695
11184.358,15101.695
11224.302,15101.695
11264.246,15101.695
11304.19,15101.695
11344.134,15101.695
11384.078,15101.695
11424.022,15101.695
11463.966,15101.695
11503.911,15101.695
11543.855,15101.695
11583.799,15101.695
11623.743,15101.695
11663.687,15101.695
11703.631,15101.695
