X [m],Y [m],NUM,MODO,Index_x,Index_y
9626.536312849163,12524.338983050848,1,9,241,311
9986.033519553073,10832.949152542373,2,9,250,269
10185.754189944135,12765.966101694916,3,9,255,317
10105.86592178771,14094.915254237289,4,9,253,350
10784.916201117318,10188.610169491525,5,9,270,253
10585.195530726258,11437.016949152543,6,9,265,284
10744.972067039105,12685.42372881356,7,9,269,315
10665.083798882682,14256.0,8,9,267,354
11344.13407821229,10389.966101694916,9,9,284,258
11304.189944134077,12161.898305084746,10,9,283,302
11344.13407821229,13450.57627118644,11,9,284,334
11224.301675977653,14698.983050847457,12,9,281,365
11903.351955307262,10953.762711864407,13,9,298,272
11903.351955307262,12242.440677966102,14,9,298,304
11943.296089385474,13571.389830508475,15,9,299,337
11823.463687150837,14940.610169491525,16,9,296,371
12502.513966480446,10631.593220338984,17,9,313,264
12462.569832402234,11920.271186440677,18,9,312,296
12502.513966480446,13531.118644067798,19,9,313,336
13061.731843575419,10873.22033898305,20,9,327,270
13061.731843575419,12161.898305084746,21,9,327,302
13061.731843575419,13490.847457627118,22,9,327,335
13620.94972067039,10591.322033898305,23,9,341,263
13620.94972067039,11839.728813559323,24,9,341,294
13660.893854748603,13490.847457627118,25,9,342,335
13700.837988826815,9302.64406779661,26,9,343,231
14180.167597765363,10591.322033898305,27,9,355,263
14180.167597765363,11920.271186440677,28,9,355,296
14220.111731843575,13249.22033898305,29,9,356,329
14260.055865921788,9302.64406779661,30,9,357,231
14739.385474860335,10712.135593220339,31,9,369,266
14739.385474860335,11960.542372881357,32,9,369,297
14819.27374301676,13249.22033898305,33,9,371,329
14859.217877094972,9463.728813559323,34,9,372,235
15298.603351955308,10712.135593220339,35,9,383,266
15618.156424581006,9423.457627118643,36,9,391,234
15857.82122905028,10994.033898305084,37,9,397,273
16337.150837988827,9705.35593220339,38,9,409,241
16417.03910614525,11155.118644067798,39,9,411,277
16896.368715083798,9423.457627118643,40,9,423,234
16976.256983240222,11074.57627118644,41,9,425,275
17455.58659217877,8577.762711864407,42,9,437,213
17455.58659217877,9826.169491525423,43,9,437,244
18014.804469273742,8899.93220338983,44,9,451,221
18054.748603351956,10269.152542372882,45,9,452,255
18574.022346368714,9020.745762711864,46,9,465,224
18693.854748603353,10349.694915254237,47,9,468,257
19173.1843575419,8940.203389830509,48,9,480,222
19293.016759776536,10309.42372881356,49,9,483,256
