X [m],Y [m],NUM,MODO,Index_x,Index_y
9746.3687150838,11396.745762711864,1,0,244,283
9506.703910614526,12685.42372881356,2,0,238,315
9946.089385474861,14094.915254237289,3,0,249,350
10305.586592178772,11275.93220338983,4,0,258,280
10065.921787709498,12806.237288135593,5,0,252,318
10545.251396648046,15101.694915254237,6,0,264,375
10585.195530726258,9987.254237288136,7,0,265,248
10665.083798882682,13813.016949152543,8,0,267,343
11144.413407821228,15141.966101694916,9,0,279,376
13221.508379888268,9504.0,10,0,331,236
11224.301675977653,13853.28813559322,11,0,281,344
11903.351955307262,14094.915254237289,12,0,298,350
11743.575418994413,15343.322033898305,13,0,294,381
13341.340782122905,10792.677966101695,14,0,334,268
11863.40782122905,12806.237288135593,15,0,297,318
13301.396648044692,13531.118644067798,16,0,333,336
12662.290502793296,13531.118644067798,17,0,317,336
13940.50279329609,11839.728813559323,18,0,349,294
13900.558659217877,13531.118644067798,19,0,348,336
13860.614525139665,9101.28813559322,20,0,347,226
14499.720670391062,11638.372881355932,21,0,363,289
14539.664804469274,13531.118644067798,22,0,364,336
14419.832402234637,8658.305084745763,23,0,361,215
15138.826815642458,10832.949152542373,24,0,379,269
15098.882681564246,13088.135593220339,25,0,378,325
15058.938547486034,9302.64406779661,26,0,377,231
15698.04469273743,10832.949152542373,27,0,393,269
15618.156424581006,9101.28813559322,28,0,391,226
17175.977653631286,10994.033898305084,29,0,430,273
16177.374301675978,8940.203389830509,30,0,405,222
17375.698324022345,9745.627118644068,31,0,435,242
16776.536312849163,8577.762711864407,32,0,420,213
18014.804469273742,10873.22033898305,33,0,451,270
17335.754189944135,8456.949152542373,34,0,434,210
18094.692737430167,9624.813559322034,35,0,453,239
17894.972067039107,8336.135593220339,36,0,448,207
18693.854748603353,10027.525423728814,37,0,468,249
18494.13407821229,8376.406779661016,38,0,463,208
19293.016759776536,10067.796610169491,39,0,483,250
19093.296089385476,8738.847457627118,40,0,478,217
