X [m],Y [m],NUM,MODO,Index_x,Index_y
9426.815642458101,12161.898305084746,1,0,236,302
9986.033519553073,11356.474576271186,2,0,250,282
9986.033519553073,12685.42372881356,3,0,250,315
10025.977653631286,14336.542372881357,4,0,251,356
10545.251396648046,10470.50847457627,5,0,264,260
10545.251396648046,12363.254237288136,6,0,264,307
10585.195530726258,13813.016949152543,7,0,265,343
10665.083798882682,15101.694915254237,8,0,267,375
11104.469273743016,10470.50847457627,9,0,278,260
11104.469273743016,11759.186440677966,10,0,278,292
11224.301675977653,13933.830508474577,11,0,281,346
11224.301675977653,15182.237288135593,12,0,281,377
11663.687150837988,10470.50847457627,13,0,292,260
11663.687150837988,11880.0,14,0,292,295
11783.519553072625,13853.28813559322,15,0,295,344
11783.519553072625,15262.77966101695,16,0,295,379
12222.90502793296,10510.77966101695,17,0,306,261
12222.90502793296,11799.457627118643,18,0,306,293
12342.737430167597,13531.118644067798,19,0,309,336
12822.067039106145,9624.813559322034,20,0,321,239
12782.122905027933,12282.71186440678,21,0,320,305
12901.95530726257,13531.118644067798,22,0,323,336
13421.22905027933,9423.457627118643,23,0,336,234
13341.340782122905,11356.474576271186,24,0,334,282
13461.173184357542,12685.42372881356,25,0,337,315
14060.335195530726,8859.661016949152,26,0,352,220
13980.446927374302,10510.77966101695,27,0,350,261
14020.391061452514,12202.169491525423,28,0,351,303
14020.391061452514,13531.118644067798,29,0,351,336
14619.553072625698,8980.474576271186,30,0,366,223
14539.664804469274,10913.49152542373,31,0,364,271
14579.608938547486,12282.71186440678,32,0,365,305
14579.608938547486,13531.118644067798,33,0,365,336
15218.715083798883,9342.915254237289,34,0,381,232
15098.882681564246,10832.949152542373,35,0,378,269
15777.932960893855,9020.745762711864,36,0,395,224
15658.100558659218,10832.949152542373,37,0,392,269
16337.150837988827,8980.474576271186,38,0,409,223
16217.31843575419,11155.118644067798,39,0,406,277
16896.368715083798,8537.49152542373,40,0,423,212
16776.536312849163,10470.50847457627,41,0,420,260
17495.530726256984,8416.677966101695,42,0,438,209
17335.754189944135,10953.762711864407,43,0,434,272
18054.748603351956,8376.406779661016,44,0,452,208
17894.972067039107,10832.949152542373,45,0,448,269
18613.96648044693,8376.406779661016,46,0,466,208
18454.18994413408,10470.50847457627,47,0,462,260
19173.1843575419,8859.661016949152,48,0,480,220
19013.40782122905,10269.152542372882,49,0,476,255
