X [m],Y [m],NUM,MODO,Index_x,Index_y
10320.09,12820.2,1,0,258,318
10686.85,12822.2,2,0,268,318
11066.92,12954.84,3,0,277,322
11431.89,12850.84,4,0,286,319
11721.15,13073.47,5,0,293,325
11263.8,10464.36,6,3,282,260
11513.45,10849.66,7,0,288,269
11723.61,11180.7,8,0,294,278
12111.77,11157.53,9,0,303,277
12452.94,11026.45,10,0,312,274
12791.83,10890.36,11,0,320,270
13036.55,11187.8,12,0,326,278
13258.09,11482.02,13,0,332,285
13441.79,11802.89,14,0,337,293
13812.25,11684.36,15,0,346,290
14356.31,12179.58,16,0,359,302
14680.01,9954.08,17,0,368,247
15051.51,9796.98,18,0,377,243
15558.4,9734.3,19,0,390,242
15930.1,9665.43,20,0,399,240
16700.99,9749.2,21,0,418,242
17089.19,9743.9,22,0,428,242
17465.66,9658.99,23,0,437,240
17850.0,9564.74,24,0,447,238
18188.05,9731.6,25,0,455,242
18567.77,9807.49,26,0,465,244
10932.83,10230.62,27,3,274,254
14510.27,12741.37,28,0,363,316
18941.4,9745.22,29,0,474,242
16308.79,9716.08,30,0,408,241
