V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
5	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
6	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
7	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
8	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
9	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
10	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
11	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
12	73.4	81.3	88.1	91.5	92	92.9	90.8	81.5	65	50	98.5
