V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
6	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
7	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
8	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
9	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
10	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
11	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
12	78.5	86.4	93.2	96.6	97.1	98	95.9	86.6	70.1	50	103.6
