V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
6	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
7	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
8	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
9	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
10	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
11	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
12	74.9	82.8	89.6	93	93.5	94.4	92.3	83	66.5	50	100
