V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
5	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
6	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
7	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
8	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
9	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
10	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
11	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
12	74.4	82.3	89.1	92.5	93	93.9	91.8	82.5	66	50	99.5
