V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
5	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
6	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
7	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
8	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
9	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
10	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
11	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
12	72.9	80.8	87.6	91	91.5	92.4	90.3	81	64.5	50	98
