V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
6	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
7	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
8	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
9	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
10	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
11	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
12	75.9	83.8	90.6	94	94.5	95.4	93.3	84	67.5	50	101
