V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
5	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
6	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
7	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
8	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
9	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
10	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
11	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
12	72.3	80.2	87	90.4	90.9	91.8	89.7	80.4	63.9	50	97.4
