V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
5	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
6	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
7	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
8	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
9	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
10	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
11	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
12	73.9	81.8	88.6	92	92.5	93.4	91.3	82	65.5	50	99
