V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	71.1	79	85.8	89.2	89.7	90.6	88.5	79.2	62.7	50	96.2
4	74.7	82.6	89.4	92.8	93.3	94.2	92.1	82.8	66.3	50	99.8
5	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
6	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
7	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
8	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
9	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
10	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
11	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
12	76.3	84.2	91	94.4	94.9	95.8	93.7	84.4	67.9	50	101.4
