V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
4	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
5	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
6	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
7	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
8	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
9	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
10	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
11	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
12	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
13	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
14	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
15	65	76.6	85.5	94.7	96.9	94.4	89.3	78.6	52	52	105.5
