V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
4	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
5	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
6	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
7	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
8	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
9	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
10	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
11	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
12	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
13	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
14	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
15	58.5	69.9	79.1	87.6	88.2	86.4	81.5	70.4	43.5	43.5	97.5
