V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
4	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
5	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
6	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
7	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
8	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
9	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
10	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
11	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
12	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
13	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
14	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
15	60.2	71.6	80.6	89.4	90.4	88.3	83.4	72.5	45.8	45.8	99.5
