V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
4	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
5	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
6	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
7	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
8	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
9	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
10	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
11	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
12	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
13	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
14	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
15	62.6	74.1	83.1	92.2	93.6	91.3	86.3	75.4	48.5	48.5	102.5
