V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
4	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
5	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
6	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
7	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
8	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
9	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
10	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
11	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
12	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
13	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
14	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
15	61.9	73.3	82.2	91.2	92.6	90.3	85.4	74.6	47.9	47.9	101.5
