V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
4	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
5	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
6	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
7	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
8	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
9	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
10	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
11	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
12	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
13	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
14	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
15	64.4	75.8	84.6	93.7	95.8	93.4	88.4	77.7	51.4	51.4	104.5
