V[m/s]	31Hz	63Hz	125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz	16kHz	Total
3	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
4	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
5	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
6	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
7	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
8	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
9	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
10	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
11	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
12	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
13	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
14	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
15	60.9	72.4	81.5	90.4	91.4	89.3	84.4	73.4	46.3	46.3	100.5
